station_id,rainfall_mm,lat,long,country,county,country_avg,county_avg,country_code
E7050,0.0,52.186277,-1.171327,England,West Northamptonshire,0.07,0.02,1
4163,,52.986245,-1.163701,England,England,0.07,0,1
0890TH,0.0,51.692891,-1.672984,England,Gloucestershire,0.07,0.1,1
E1310,,52.493886,-0.649292,England,North Northamptonshire,0.07,0,1
3680,0.0,52.73152,-0.995167,England,Leicestershire,0.07,0,1
3275,0.0,52.635078,-1.944539,England,Walsall,0.07,0.2,1
3167,0.0,52.419334,-1.990391,England,Worcestershire,0.07,0.14,1
3307,0.0,53.196879,-1.901908,England,Staffordshire,0.07,0.14,1
3404,0.0,53.287863,-1.579192,England,Derbyshire,0.07,0.07,1
3014,0.0,52.886657,-2.182004,England,Staffordshire,0.07,0.14,1
3901,0.0,53.305797,-1.088289,England,Nottinghamshire,0.07,0,1
3999,0.0,52.564065,-1.199634,England,Leicestershire,0.07,0,1
1412,0.0,52.47914,-2.975413,England,Shropshire,0.07,0.16,1
Not_Specified,,50.778033,-2.848812,England,Dorset,0.07,0.17,1
Not_Specified,,50.778033,-2.848812,England,Dorset,0.07,0.17,1
E13600,0.0,50.880106,-1.558591,England,Hampshire,0.07,0.07,1
242534TP,0.0,51.807828,-0.03963,England,Hertfordshire,0.07,0,1
E8520,0.0,51.039914,-0.097897,England,West Sussex,0.07,0.04,1
276316TP,0.0,51.718037,-0.217242,England,Hertfordshire,0.07,0,1
E10130,0.0,51.185738,-0.408138,England,Surrey,0.07,0,1
E24238,0.0,52.323011,-0.206231,England,Cambridgeshire,0.07,0,1
E10510,,51.053802,-0.642384,England,West Sussex,0.07,0.04,1
000181TP,0.0,51.730021,0.040992,England,Essex,0.07,0,1
238605TP,0.0,51.722932,0.136235,England,Essex,0.07,0,1
52210,0.0,51.116625,-2.434971,England,Somerset,0.07,0.05,1
47161,0.0,50.516447,-4.209541,England,Cornwall,0.07,0.08,1
E1039,0.0,53.102452,0.317508,England,Lincolnshire,0.07,0,1
E8770,0.0,50.893868,0.081008,England,East Sussex,0.07,0,1
244569TP,0.0,51.727077,-0.10539,England,Hertfordshire,0.07,0,1
595273,0.0,54.760082,-3.214413,England,Cumberland,0.07,0.07,1
46104,0.0,50.53756,-3.702476,England,Devon,0.07,0.14,1
77066,0.0,53.70469,-2.135531,England,Calderdale,0.07,0.13,1
E24195,0.0,52.103622,0.807145,England,Suffolk,0.07,0,1
900,0.0,55.591879,-1.854785,England,Northumberland,0.07,0,1
38179,0.0,54.105159,-0.642597,England,North Yorkshire,0.07,0.06,1
242819TP,0.0,51.827809,0.054118,England,Hertfordshire,0.07,0,1
1113,0.0,51.799795,-2.148586,England,Gloucestershire,0.07,0.1,1
43202,0.0,50.896473,-2.390258,England,Dorset,0.07,0.17,1
48148,0.0,50.171774,-5.437334,England,Cornwall,0.07,0.08,1
37292,0.0,54.204227,-0.30358,England,North Yorkshire,0.07,0.06,1
86575,0.0,53.591095,-1.271011,England,Doncaster,0.07,0,1
E1179,0.0,52.456899,-1.052938,England,Leicestershire,0.07,0,1
E4753,0.0,51.160348,1.119955,England,Kent,0.07,0.01,1
E24847,0.0,51.889291,0.584473,England,Essex,0.07,0,1
3173,0.0,53.017139,-1.981319,England,Staffordshire,0.07,0.14,1
82732,0.0,53.352459,-1.545506,England,Sheffield,0.07,0,1
E4500,0.0,51.154584,0.889296,England,Kent,0.07,0.01,1
VCHURCH-T_TG_341,,52.023749,-2.92175,England,Herefordshire,0.07,0.07,1
VCHURCH-T_TG_341,0.0,52.023749,-2.92175,England,Herefordshire,0.07,0.07,1
52100,0.0,51.054044,-3.336105,England,Somerset,0.07,0.05,1
E46612,0.0,53.346199,0.015208,England,Lincolnshire,0.07,0,1
40752,0.0,53.983799,-0.227143,England,East Riding of Yorkshire,0.07,0,1
267661TP,0.0,51.388049,-1.53073,England,West Berkshire,0.07,0.06,1
74108,0.0,53.911448,-2.098144,England,North Yorkshire,0.07,0.06,1
241961TP,0.0,51.97304,-0.025147,England,Hertfordshire,0.07,0,1
1117,,51.758734,-2.612081,England,Gloucestershire,0.07,0.1,1
45232,0.0,50.882121,-3.092361,England,Devon,0.07,0.14,1
48199,0.0,50.356962,-4.730773,England,Cornwall,0.07,0.08,1
E7055,0.0,52.327013,-1.00142,England,West Northamptonshire,0.07,0.02,1
E7045,0.0,52.185547,-0.867095,England,West Northamptonshire,0.07,0.02,1
44200,0.0,50.837132,-2.59994,England,Dorset,0.07,0.17,1
58461,0.0,53.979278,-1.646973,England,North Yorkshire,0.07,0.06,1
E4530,0.0,51.156945,1.009589,England,Kent,0.07,0.01,1
1339,0.0,52.718219,-2.570654,England,Telford and Wrekin,0.07,0.2,1
564769,,53.300189,-2.155251,England,Cheshire East,0.07,0.14,1
564769,0.0,53.300189,-2.155251,England,Cheshire East,0.07,0.14,1
43228,0.0,50.968057,-2.158729,England,Dorset,0.07,0.17,1
E22255,0.0,52.170162,0.400362,England,Cambridgeshire,0.07,0,1
E23717,0.0,52.132732,-0.418436,England,Bedford,0.07,0,1
921083,0.0,55.502931,-2.138485,England,Northumberland,0.07,0,1
47101,0.0,50.804076,-4.356504,England,Devon,0.07,0.14,1
300874,0.0,51.373888,1.173263,England,Kent,0.07,0.01,1
3602,0.0,52.813347,-0.803365,England,Leicestershire,0.07,0,1
49171,0.0,50.419841,-4.409173,England,Cornwall,0.07,0.08,1
45101,,51.138375,-3.758795,England,Somerset,0.07,0.05,1
E9340,0.0,50.986805,-0.268198,England,West Sussex,0.07,0.04,1
E45871,0.0,53.676809,-0.524692,England,North Lincolnshire,0.07,0,1
43102,0.0,51.067961,-2.063451,England,Wiltshire,0.07,0.04,1
3015,0.0,52.808314,-1.74405,England,Staffordshire,0.07,0.14,1
47167,0.0,50.377366,-3.992093,England,Devon,0.07,0.14,1
277407TP,0.0,51.686586,-0.341445,England,Hertfordshire,0.07,0,1
E1815,0.0,53.041102,-0.374951,England,Lincolnshire,0.07,0,1
270400TP,,51.44172,-0.937391,England,England,0.07,0,1
E44121,0.0,51.931385,0.712001,England,Essex,0.07,0,1
47105,0.0,50.686858,-4.234529,England,Devon,0.07,0.14,1
E44111,0.14,51.874052,0.368575,England,Essex,0.07,0,1
E24289,0.0,52.172202,0.251294,England,Cambridgeshire,0.07,0,1
49149,0.0,50.679797,-4.695684,England,Cornwall,0.07,0.08,1
E871,0.0,51.274484,0.217164,England,Kent,0.07,0.01,1
1201,0.0,52.343809,-1.955178,England,Worcestershire,0.07,0.14,1
E7155,0.0,52.645246,-0.420704,England,City of Peterborough,0.07,0,1
E12560,0.0,51.006173,-1.114132,England,Hampshire,0.07,0.07,1
82672,0.0,53.324572,-1.539797,England,Sheffield,0.07,0,1
52224,0.0,51.173877,-2.508462,England,Somerset,0.07,0.05,1
E24935,0.0,51.702642,0.87633,England,Essex,0.07,0,1
E45881,0.0,53.219937,-0.507486,England,Lincolnshire,0.07,0,1
51127,0.0,51.163886,-3.611019,England,Somerset,0.07,0.05,1
1814,0.0,52.481443,-1.558947,England,Warwickshire,0.07,0.13,1
264845TP,0.0,51.532367,-1.135676,England,Oxfordshire,0.07,0.07,1
63518,0.0,53.876425,-1.532241,England,Leeds,0.07,0.2,1
48100,0.0,50.127328,-5.568494,England,Cornwall,0.07,0.08,1
282781TP,0.0,51.256125,-0.566214,England,Surrey,0.07,0,1
E1971,0.6,52.452473,-0.605675,England,North Northamptonshire,0.07,0,1
274918TP,0.0,51.440044,-0.766213,England,Bracknell Forest,0.07,0.1,1
531178,0.0,51.596598,-2.146477,England,Wiltshire,0.07,0.04,1
52228,0.0,51.440951,-2.8222,England,North Somerset,0.07,0,1
48106,0.0,50.390633,-4.752406,England,Cornwall,0.07,0.08,1
48192,0.0,50.238386,-5.248557,England,Cornwall,0.07,0.08,1
1331,0.0,52.596394,-2.471631,England,Shropshire,0.07,0.16,1
55223,,54.364209,-1.297407,England,North Yorkshire,0.07,0.06,1
551706,0.0,53.055708,-2.6691,England,Cheshire East,0.07,0.14,1
45230,0.0,50.752768,-3.256625,England,Devon,0.07,0.14,1
3687,0.0,52.723063,-0.765859,England,Rutland,0.07,0,1
3165,0.0,52.399545,-2.050654,England,Worcestershire,0.07,0.14,1
260221TP,,51.63431,-1.505077,England,Oxfordshire,0.07,0.07,1
E15720,,51.291987,0.195058,England,Kent,0.07,0.01,1
E15720,0.02,51.291987,0.195058,England,Kent,0.07,0.01,1
52102,0.0,51.064754,-2.737025,England,Somerset,0.07,0.05,1
74329,0.0,53.986087,-1.999194,England,North Yorkshire,0.07,0.06,1
E15520,,51.395266,0.296316,England,Kent,0.07,0.01,1
E15520,0.0,51.395266,0.296316,England,Kent,0.07,0.01,1
E1965,,52.5771,-0.125035,England,City of Peterborough,0.07,0,1
E15510,0.0,51.307175,0.102521,England,Kent,0.07,0.01,1
598928,0.0,54.524262,-2.505948,England,Westmorland and Furness,0.07,0.16,1
43200,0.0,51.044768,-2.4129,England,Somerset,0.07,0.05,1
1712,0.0,52.639137,-2.325793,England,Shropshire,0.07,0.16,1
287283TP,0.0,51.449283,-0.224851,England,London Borough of Wandsworth,0.07,0,1
3782,0.0,52.736673,-1.993285,England,Staffordshire,0.07,0.14,1
3588,0.0,52.958861,-1.577925,England,Derbyshire,0.07,0.07,1
551440,,53.276556,-2.854006,England,Cheshire West and Chester,0.07,0.1,1
564154,,53.497891,-2.499671,England,Wigan,0.07,0.13,1
3572,0.0,53.311933,-1.898644,England,Derbyshire,0.07,0.07,1
251530TP,0.0,51.689762,-1.679516,England,Oxfordshire,0.07,0.07,1
E10450,0.0,50.933357,-0.647317,England,West Sussex,0.07,0.04,1
E3240,0.0,51.389586,0.842268,England,Kent,0.07,0.01,1
591642,0.0,54.525099,-3.417569,England,Cumberland,0.07,0.07,1
E7295,0.0,50.814838,0.358583,England,East Sussex,0.07,0,1
49102,0.0,50.382424,-4.56061,England,Cornwall,0.07,0.08,1
E1613,0.0,53.397417,-0.269659,England,Lincolnshire,0.07,0,1
E7095,0.0,53.326702,-0.11185,England,Lincolnshire,0.07,0,1
E24874,0.0,51.906849,1.087118,England,Essex,0.07,0,1
268851TP,0.0,51.462587,-1.327004,England,West Berkshire,0.07,0.06,1
247281TP,0.0,51.67255,-0.366544,England,Hertfordshire,0.07,0,1
6403,0.0,55.237908,-1.918977,England,Northumberland,0.07,0,1
1773,0.0,52.222319,-2.17488,England,Worcestershire,0.07,0.14,1
8850,0.0,55.255608,-2.540374,England,Northumberland,0.07,0,1
13045,0.0,54.742208,-2.378185,England,Westmorland and Furness,0.07,0.16,1
E14930,0.0,50.623497,-1.307947,England,Isle of Wight,0.07,0.01,1
1748,0.0,52.481743,-2.579368,England,Shropshire,0.07,0.16,1
35302,0.0,54.517093,-0.752561,England,North Yorkshire,0.07,0.06,1
E11120,0.0,50.78281,-0.694221,England,West Sussex,0.07,0.04,1
1387,0.0,52.424304,-3.172736,England,Shropshire,0.07,0.16,1
77952,0.0,53.772138,-1.90361,England,Calderdale,0.07,0.13,1
3998,0.0,53.396184,-0.931457,England,Nottinghamshire,0.07,0,1
E24894,,51.890899,1.212487,England,Essex,0.07,0,1
554472,0.0,53.169907,-2.103919,England,Staffordshire,0.07,0.14,1
26297,0.0,54.701508,-1.198486,England,Hartlepool,0.07,0,1
591878,0.0,54.529816,-3.545999,England,Cumberland,0.07,0.07,1
1812,0.0,51.89986,-2.41343,England,Gloucestershire,0.07,0.1,1
552376,0.0,52.965913,-2.459268,England,Cheshire East,0.07,0.14,1
77800,0.0,53.636457,-2.005248,England,Calderdale,0.07,0.13,1
13336,0.0,54.774946,-2.516845,England,Westmorland and Furness,0.07,0.16,1
47113,0.0,50.418385,-3.960029,England,Devon,0.07,0.14,1
45108,,50.884946,-3.487642,England,Devon,0.07,0.14,1
E6270,0.0,51.032353,0.577858,England,Kent,0.07,0.01,1
3610,0.0,52.655516,-1.302927,England,Leicestershire,0.07,0,1
E11060,0.0,50.853543,-0.666675,England,West Sussex,0.07,0.04,1
E24763,0.0,51.949875,-0.766824,England,Buckinghamshire,0.07,0.07,1
583948,0.0,54.064769,-2.863989,England,Lancashire,0.07,0.08,1
47168,0.0,50.660116,-4.359193,England,Cornwall,0.07,0.08,1
47158,,50.771514,-4.228634,England,Devon,0.07,0.14,1
51125,0.0,51.193548,-3.612054,England,Somerset,0.07,0.05,1
E7780,0.0,50.80213,0.081187,England,East Sussex,0.07,0,1
43104,0.0,51.220377,-1.669896,England,Wiltshire,0.07,0.04,1
248332TP,0.0,51.672207,-1.952948,England,Gloucestershire,0.07,0.1,1
3816,0.0,53.130665,-1.23847,England,Nottinghamshire,0.07,0,1
31555,0.0,54.469846,-1.099639,England,North Yorkshire,0.07,0.06,1
E1320,0.0,51.202399,0.077705,England,Kent,0.07,0.01,1
46100,0.0,50.390977,-3.70144,England,Devon,0.07,0.14,1
3686,0.0,52.544833,-1.031877,England,Leicestershire,0.07,0,1
553564,,53.113166,-2.501173,England,Cheshire East,0.07,0.14,1
553564,0.0,53.113166,-2.501173,England,Cheshire East,0.07,0.14,1
45164,0.0,50.614674,-3.380154,England,Devon,0.07,0.14,1
53159,0.0,51.366659,-2.621201,England,Bath and North East Somerset,0.07,0.05,1
57426,0.0,54.18467,-1.901124,England,North Yorkshire,0.07,0.06,1
E2493,0.0,52.814,0.01276,England,Lincolnshire,0.07,0,1
239374TP,0.0,51.575345,0.041271,England,London Borough of Redbridge,0.07,0,1
3099,0.0,52.807639,-1.889433,England,Staffordshire,0.07,0.14,1
77836,0.0,53.657107,-1.925056,England,Calderdale,0.07,0.13,1
78530,0.0,53.592394,-1.929702,England,Kirklees,0.07,0.03,1
600683,0.0,54.592579,-2.950962,England,Westmorland and Furness,0.07,0.16,1
E11480,0.0,51.253545,-1.255547,England,Hampshire,0.07,0.07,1
74924,0.0,53.829697,-1.976406,England,Bradford,0.07,0.1,1
E11470,0.0,50.852298,-0.990615,England,Hampshire,0.07,0.07,1
8,0.0,53.480556,-1.441674,England,Rotherham,0.07,0,1
E21018,0.0,51.587908,0.506691,England,Essex,0.07,0,1
48180,0.0,50.382625,-4.896844,England,Cornwall,0.07,0.08,1
570099,0.0,53.511139,-2.721493,England,St Helens,0.07,0.2,1
E5640,0.0,51.05909,0.821971,England,Kent,0.07,0.01,1
E24863,0.0,51.857943,0.698866,England,Essex,0.07,0,1
254829TP,0.0,51.938474,-1.573015,England,Oxfordshire,0.07,0.07,1
3580,,53.047163,-1.641206,England,Derbyshire,0.07,0.07,1
E27594,0.0,52.735167,-0.4219,England,Lincolnshire,0.07,0,1
50112,0.0,51.219415,-3.751859,England,Devon,0.07,0.14,1
564595,0.0,53.240041,-2.077118,England,Cheshire East,0.07,0.14,1
49902,0.0,54.130296,-1.656404,England,North Yorkshire,0.07,0.06,1
E1290,0.0,51.236919,-0.046806,England,Surrey,0.07,0,1
3570,0.0,53.029694,-1.914215,England,Staffordshire,0.07,0.14,1
1792,0.0,52.307409,-2.728158,England,Herefordshire,0.07,0.07,1
8632,,55.047076,-1.446712,England,North Tyneside,0.07,0,1
E14893,0.0,50.754772,-1.304596,England,Isle of Wight,0.07,0.01,1
E4510,0.0,51.105558,0.979102,England,Kent,0.07,0.01,1
E4520,0.0,51.225958,0.726173,England,Kent,0.07,0.01,1
5782,0.0,55.154354,-1.944254,England,Northumberland,0.07,0,1
E41311,0.0,51.520749,0.616886,England,Essex,0.07,0,1
E2331,0.0,52.473204,-0.862668,England,North Northamptonshire,0.07,0,1
920359,0.0,55.553328,-1.997587,England,Northumberland,0.07,0,1
1119,0.0,52.031946,-2.435056,England,Herefordshire,0.07,0.07,1
30377,0.0,54.526112,-1.506309,England,Darlington,0.07,0,1
E27601,0.0,51.530977,0.519422,England,Essex,0.07,0,1
3179,0.0,52.69041,-0.920654,England,Leicestershire,0.07,0,1
49151,0.0,50.480775,-4.463019,England,Cornwall,0.07,0.08,1
238777TP,0.0,51.736595,0.223782,England,Essex,0.07,0,1
83534,0.0,53.250698,-1.498624,England,Derbyshire,0.07,0.07,1
3996,0.0,52.897989,-0.911045,England,Nottinghamshire,0.07,0,1
47157,0.0,50.431628,-4.270363,England,Cornwall,0.07,0.08,1
559586,0.0,53.534889,-2.012778,England,Oldham,0.07,0.07,1
E25041,0.0,52.786909,-0.264322,England,Lincolnshire,0.07,0,1
37973,0.0,54.297778,-1.167931,England,North Yorkshire,0.07,0.06,1
E9360,0.0,50.929113,-0.384184,England,West Sussex,0.07,0.04,1
E9350,0.0,50.999283,-0.143741,England,West Sussex,0.07,0.04,1
248965TP,0.0,51.792696,-2.00792,England,Gloucestershire,0.07,0.1,1
3860,0.0,53.407215,-1.191422,England,Rotherham,0.07,0,1
32,,54.505434,-0.84558,England,Redcar and Cleveland,0.07,0,1
587552,,54.313112,-2.946042,England,Westmorland and Furness,0.07,0.16,1
587552,0.0,54.313112,-2.946042,England,Westmorland and Furness,0.07,0.16,1
E7135,0.0,53.572235,-0.236854,England,Lincolnshire,0.07,0,1
E2420,0.0,51.130083,0.749109,England,Kent,0.07,0.01,1
E11820,0.0,50.828711,-1.195588,England,Hampshire,0.07,0.07,1
62046,0.0,54.071438,-1.913617,England,North Yorkshire,0.07,0.06,1
44215,0.0,50.743404,-2.638425,England,Dorset,0.07,0.17,1
E24925,0.0,51.644031,0.489549,England,Essex,0.07,0,1
3057,0.0,52.730505,-1.571247,England,Derbyshire,0.07,0.07,1
E23633,0.0,51.996269,-0.242627,England,Hertfordshire,0.07,0,1
1413,0.0,52.325619,-2.226643,England,Worcestershire,0.07,0.14,1
559100R,,53.45937,-1.93444,England,Derbyshire,0.07,0.07,1
559100R,,53.45937,-1.93444,England,Derbyshire,0.07,0.07,1
531172,0.0,51.277706,-2.608531,England,Somerset,0.07,0.05,1
E2416,0.0,52.808243,-0.129942,England,Lincolnshire,0.07,0,1
E24957,0.06,52.101218,0.906298,England,Suffolk,0.07,0,1
E24947,0.0,52.165978,0.556609,England,Suffolk,0.07,0,1
261602TP,,51.772802,-0.689041,England,Buckinghamshire,0.07,0.07,1
261602TP,0.0,51.772802,-0.689041,England,Buckinghamshire,0.07,0.07,1
E24790,0.0,52.409069,1.30592,England,Norfolk,0.07,0,1
E7165,0.0,52.766451,-0.623828,England,Lincolnshire,0.07,0,1
53115,0.0,51.210084,-2.450167,England,Somerset,0.07,0.05,1
E9290,0.0,51.04624,-0.400084,England,West Sussex,0.07,0.04,1
48182,0.0,50.249425,-5.040268,England,Cornwall,0.07,0.08,1
570231,0.0,53.596101,-2.789423,England,Lancashire,0.07,0.08,1
1082,0.0,52.186855,-1.418519,England,Warwickshire,0.07,0.13,1
1121,0.0,52.718322,-2.717219,England,Shropshire,0.07,0.16,1
261021TP,0.0,51.653876,-1.288038,England,Oxfordshire,0.07,0.07,1
1770,0.0,52.288216,-1.222206,England,West Northamptonshire,0.07,0.02,1
602253,0.0,54.779014,-2.608625,England,Westmorland and Furness,0.07,0.16,1
288504TP,0.0,51.349274,0.009666,England,London Borough of Bromley,0.07,0,1
269627TP,0.0,51.345161,-1.239706,England,Hampshire,0.07,0.07,1
596791,0.0,54.843273,-3.064299,England,Cumberland,0.07,0.07,1
259110TP,0.0,51.886777,-1.156503,England,Oxfordshire,0.07,0.07,1
E15500,0.0,51.435174,0.135731,England,London Borough of Bexley,0.07,0,1
564160,0.0,53.381621,-2.570469,England,Warrington,0.07,0.05,1
1760,0.0,52.140634,-1.974376,England,Worcestershire,0.07,0.14,1
E7420,0.0,50.788104,0.060701,England,East Sussex,0.07,0,1
569848,0.0,53.58714,-2.633659,England,Wigan,0.07,0.13,1
E5451,0.0,51.007531,0.978517,England,Kent,0.07,0.01,1
E13980,0.0,51.218761,-1.473747,England,Hampshire,0.07,0.07,1
3232,0.0,55.312483,-1.909373,England,Northumberland,0.07,0,1
2321SO,0.0,50.83729,-0.377415,England,West Sussex,0.07,0.04,1
3185,0.0,52.407451,-1.784594,England,Metropolitan Borough of Solihull,0.07,0,1
E2510,0.0,52.535424,-0.981957,England,Leicestershire,0.07,0,1
23839,0.0,54.829815,-1.807716,England,County Durham,0.07,0.05,1
3774,0.0,53.579885,-0.869434,England,North Lincolnshire,0.07,0,1
E23535,,51.747187,0.62561,England,Essex,0.07,0,1
239258TP,0.0,51.664377,0.040933,England,Essex,0.07,0,1
E12821,0.0,51.085476,-1.13689,England,Hampshire,0.07,0.07,1
490001TP,0.0,51.903913,0.021245,England,Hertfordshire,0.07,0,1
593893,0.0,54.703741,-3.274806,England,Cumberland,0.07,0.07,1
E14900,0.0,50.677559,-1.505295,England,Isle of Wight,0.07,0.01,1
43206,0.0,50.755798,-1.814938,England,"Bournemouth, Christchurch and Poole",0.07,0.4,1
19356,,54.999168,-1.605255,England,Newcastle upon Tyne,0.07,0,1
E22283,0.0,52.402761,0.279187,England,Cambridgeshire,0.07,0,1
26644,0.0,54.656189,-2.285935,England,County Durham,0.07,0.05,1
3778,0.0,52.687955,-1.796533,England,Staffordshire,0.07,0.14,1
